Model,N_estimators,Learning_rate,Score,R2_Score,CVS,MSE,MAE,RMSE
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,28,0.7,0.7091705874990261,0.7143342002401352,0.696785535914399,5.4338012972608505,1.5703598947843391,2.3310515432441323
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,28,0.8,0.7382963317294186,0.7155674037034789,0.7103862383417339,5.410343877490834,1.6295110099696146,2.3260145909883785
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,28,0.9,0.7205641793358797,0.7091705874990261,0.7121496689299607,5.332084161415258,1.5662357463605212,2.3091306072665656
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,28,1.0,0.7196816734676271,0.7196816734676271,0.7133092989215143,5.532021124887318,1.6118531445199078,2.3520248988663615
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,29,0.1,0.7137682703472067,0.7122293882423959,0.7010289368933571,5.473838047104268,1.5761703496646122,2.3396234840470096
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,29,0.2,0.7029397980491034,0.7137682703472067,0.6895318040302214,5.315297547351615,1.5364437228179832,2.3054929076775785
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,29,0.3,0.7412578519936894,0.7029397980491034,0.6932369010203161,5.443030959875429,1.5751582865273934,2.3330304241212607
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,29,0.4,0.7409638508497468,0.7138489784206261,0.6970795938411634,5.444566151117833,1.6204308184971654,2.3333594131890254
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,29,0.5,0.7288787339303346,0.7176368650083454,0.7120061981354223,5.370979552001162,1.5712458997708831,2.3175373895584
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,29,0.6,0.7102904219958526,0.7205641793358797,0.7056658500566425,5.650540288974895,1.5698066549823095,2.377086512724115
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,29,0.7,0.734414676851249,0.7216225301302333,0.6996318863224872,5.051839858576873,1.5309658246919784,2.2476298313060523
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,29,0.8,0.7216225301302333,0.734414676851249,0.729805226697114,5.05710591679923,1.4981260072630163,2.24880099537492
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,29,0.9,0.7410066780234363,0.7400292798168995,0.7270130367498109,5.295166093309341,1.5057081324826187,2.3011227897070903
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,29,1.0,0.7138489784206261,0.7382963317294186,0.7277888202388887,4.945041505732389,1.5044715890016758,2.223744928208357
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,30,0.1,0.6926584884947845,0.73413782964036,0.7304552762531094,4.978004834117358,1.520181611723615,2.231144288054306
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,30,0.2,0.7384346150612553,0.7211236358301355,0.7145850858638318,5.304655827457935,1.6055943109580137,2.3031838457791283
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,30,0.3,0.73413782964036,0.6926584884947845,0.7055521287573155,5.846106552912549,1.5679298522170388,2.417872319398307
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,30,0.4,0.7122293882423959,0.7102904219958526,0.7124075977450064,5.272830541909374,1.5612287643513765,2.2962644756014874
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,30,0.5,0.7200339443018113,0.7227967547300479,0.7156688630576509,5.51072015659959,1.5988422265226068,2.3474923123621916
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,30,0.6,0.7400292798168995,0.7200339443018113,0.7014606068251658,5.325383430290333,1.5364346831614977,2.3076792303720057
<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,30,0.7,0.6908551751672636,0.7410066780234363,0.7318854294497866,4.926449893971073,1.5005102066365128,2.219560743474049
